arm,regime,variant,scope,acc,prec,rec,f1,mcc,mcc_std
2 jitter+wf,int8,clean,full,0.9377049180327869,0.590825358579774,1.0,0.7271644175105035,0.7361802966992661,0.13020336096760524
2 jitter+wf,int8,clean,test,0.9403508771929825,0.6286772486772487,1.0,0.7501673434231573,0.7583521056693727,0.15487717095532544
2 jitter+wf,int8,noise_snr10db,full,0.8814988290398127,0.39074619607352923,1.0,0.559782663043399,0.5829258134690373,0.050198074479687375
2 jitter+wf,int8,noise_snr10db,test,0.87953216374269,0.39534032845512196,1.0,0.5640600141115955,0.5853694117817768,0.05526923591472169
2 jitter+wf,int8,noise_snr20db,full,0.9121779859484778,0.4721558415191751,0.9993650793650793,0.6363208833278324,0.6515417611462487,0.07390193616932686
2 jitter+wf,int8,noise_snr20db,test,0.9162573099415203,0.49695180125395305,1.0,0.6570784669838992,0.6695745859930001,0.08679257707121944
2 jitter+wf,int8,noise_snr30db,full,0.9301639344262296,0.5526229165079131,0.9993650793650793,0.6986453298440649,0.709367895578384,0.11790928040319074
2 jitter+wf,int8,noise_snr30db,test,0.9345029239766082,0.581089020225176,1.0,0.7207970965535831,0.72920548759576,0.12450325460107191
2 jitter+wf,int8,noise_snr5db,full,0.8667915690866511,0.3646360128701254,0.994920634920635,0.5309815824722125,0.5558320264252086,0.05751368115106834
2 jitter+wf,int8,noise_snr5db,test,0.8657309941520468,0.37258233422667447,1.0,0.5393623020174476,0.5629886899814992,0.0645747038260477
3 wf-only,float32,clean,full,0.9960187353629977,0.9496323529411765,1.0,0.9739496303420089,0.9723036308472603,0.016021465851222685
3 wf-only,float32,clean,test,0.9964912280701753,0.9571428571428572,1.0,0.9777777777777777,0.976341896721744,0.019715086065213373
3 wf-only,float32,noise_snr10db,full,0.9948477751756442,0.9852404057385401,0.9453968253968253,0.9630095575920127,0.96157205889505,0.036537092657084685
3 wf-only,float32,noise_snr10db,test,0.9941520467836257,0.9885714285714287,0.9353846153846155,0.9576271702532572,0.9569932034047125,0.05703353039716309
3 wf-only,float32,noise_snr20db,full,0.9954098360655739,0.955344781657497,0.9853968253968255,0.9695364555024827,0.967543933572723,0.009565234379206528
3 wf-only,float32,noise_snr20db,test,0.9950877192982455,0.9571428571428572,0.9815384615384616,0.9680444444444443,0.9661447148709099,0.01956635697082228
3 wf-only,float32,noise_snr30db,full,0.9950819672131148,0.9398473023362992,0.9980952380952381,0.9678644920876244,0.9658525693307171,0.013069024221462548
3 wf-only,float32,noise_snr30db,test,0.9957894736842104,0.9485714285714286,1.0,0.9733333333333332,0.9716102760660928,0.018069174845281928
3 wf-only,float32,noise_snr5db,full,0.9907728337236534,0.9956141488439876,0.8793650793650793,0.9273163703514555,0.9281572398577211,0.08152355790889838
3 wf-only,float32,noise_snr5db,test,0.9880701754385964,0.9971428571428571,0.8461538461538461,0.9045407876300325,0.9077957652595514,0.10662647369808027
3 wf-only,int8,clean,full,0.9948477751756439,0.9353660485933504,1.0,0.966433524400706,0.9643781864890921,0.014176167634975182
3 wf-only,int8,clean,test,0.9953216374269005,0.942857142857143,1.0,0.9703703703703702,0.9684558622956585,0.01609730036494259
3 wf-only,int8,noise_snr10db,full,0.9950819672131148,0.9841088664958606,0.9498412698412697,0.9649543940931408,0.9634767159763378,0.03365645826507033
3 wf-only,int8,noise_snr10db,test,0.9955555555555555,0.9885714285714287,0.9538461538461539,0.9680619528619527,0.9674853436299142,0.05142783920201741
3 wf-only,int8,noise_snr20db,full,0.9955503512880562,0.952391530011345,0.9904761904761905,0.9706007598476134,0.9686830212814874,0.011319331331048331
