mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained-wf int8,noise_snr20db,43,test,171,0.9590643274853801,0.65,1.0,0.7878787878787878,0.7881640258509454
retrained-wf float32,noise_snr10db,43,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf int8,noise_snr10db,43,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr5db,43,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf int8,noise_snr5db,43,test,171,0.9122807017543859,0.4642857142857143,1.0,0.6341463414634146,0.648234491986011
retrained-wf float32,clean,44,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,clean,44,full,854,0.9871194379391101,0.8513513513513513,1.0,0.9197080291970803,0.9162489172982042
retrained-wf float32,noise_snr30db,44,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,noise_snr30db,44,full,854,0.9859484777517564,0.84,1.0,0.9130434782608695,0.9095364957868055
retrained-wf float32,noise_snr20db,44,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,noise_snr20db,44,full,854,0.955503512880562,0.6237623762376238,1.0,0.7682926829268293,0.7705819539778832
retrained-wf float32,noise_snr10db,44,full,854,0.9894613583138173,0.8857142857142857,0.9841269841269841,0.9323308270676691,0.9281460259929349
retrained-wf int8,noise_snr10db,44,full,854,0.9133489461358314,0.45985401459854014,1.0,0.63,0.6456264693188698
retrained-wf float32,noise_snr5db,44,full,854,0.9941451990632318,0.9393939393939394,0.9841269841269841,0.9612403100775194,0.9583788592796394
retrained-wf int8,noise_snr5db,44,full,854,0.8946135831381733,0.4117647058823529,1.0,0.5833333333333334,0.6040812091398098
retrained-wf float32,clean,44,test,171,1.0,1.0,1.0,1.0,1.0
