mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained float32,noise_snr20db,44,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
retrained int8,noise_snr20db,44,full,854,0.9004683840749415,0.42567567567567566,1.0,0.5971563981042654,0.616387078365136
retrained float32,noise_snr10db,44,full,854,0.8758782201405152,0.3727810650887574,1.0,0.5431034482758621,0.568177414807731
retrained int8,noise_snr10db,44,full,854,0.8618266978922716,0.34806629834254144,1.0,0.5163934426229508,0.544189650031753
retrained float32,noise_snr5db,44,full,854,0.8548009367681498,0.3216374269005848,0.873015873015873,0.4700854700854701,0.4744666093132783
retrained int8,noise_snr5db,44,full,854,0.84192037470726,0.3064516129032258,0.9047619047619048,0.4578313253012048,0.46970884970120524
retrained float32,clean,44,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained int8,clean,44,test,171,0.9473684210526315,0.5909090909090909,1.0,0.7428571428571429,0.7464916023057483
retrained float32,noise_snr30db,44,test,171,0.9824561403508771,0.8125,1.0,0.896551724137931,0.8927893283469098
retrained int8,noise_snr30db,44,test,171,0.9239766081871345,0.5,1.0,0.6666666666666666,0.6773926184227806
retrained float32,noise_snr20db,44,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained int8,noise_snr20db,44,test,171,0.9122807017543859,0.4642857142857143,1.0,0.6341463414634146,0.648234491986011
retrained float32,noise_snr10db,44,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained int8,noise_snr10db,44,test,171,0.8596491228070176,0.35135135135135137,1.0,0.52,0.5458768412651585
retrained float32,noise_snr5db,44,test,171,0.8654970760233918,0.3333333333333333,0.7692307692307693,0.46511627906976744,0.44782004358853833
retrained int8,noise_snr5db,44,test,171,0.847953216374269,0.3142857142857143,0.8461538461538461,0.4583333333333333,0.45605353826544054
retrained float32,clean,45,full,854,0.990632318501171,0.9104477611940298,0.9682539682539683,0.9384615384615385,0.9339150191342791
retrained int8,clean,45,full,854,0.9426229508196722,0.5625,1.0,0.72,0.7263985595089222
retrained float32,noise_snr30db,45,full,854,0.9836065573770492,0.8181818181818182,1.0,0.9,0.8964935716750603
retrained int8,noise_snr30db,45,full,854,0.9156908665105387,0.4666666666666667,1.0,0.6363636363636364,0.6512977741098707
retrained float32,noise_snr20db,45,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
retrained int8,noise_snr20db,45,full,854,0.8969555035128806,0.41721854304635764,1.0,0.5887850467289719,0.6089353995384993
retrained float32,noise_snr10db,45,full,854,0.8711943793911007,0.36257309941520466,0.9841269841269841,0.5299145299145299,0.5528256277533362
retrained int8,noise_snr10db,45,full,854,0.8536299765807962,0.3351063829787234,1.0,0.50199203187251,0.5311781755582756
retrained float32,noise_snr5db,45,full,854,0.8548009367681498,0.31736526946107785,0.8412698412698413,0.4608695652173913,0.45945945662533755
retrained int8,noise_snr5db,45,full,854,0.8395784543325527,0.3010752688172043,0.8888888888888888,0.4497991967871486,0.45885572855280615
retrained float32,clean,45,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained int8,clean,45,test,171,0.9473684210526315,0.5909090909090909,1.0,0.7428571428571429,0.7464916023057483
retrained float32,noise_snr30db,45,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained int8,noise_snr30db,45,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained float32,noise_snr20db,45,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained int8,noise_snr20db,45,test,171,0.9064327485380117,0.4482758620689655,1.0,0.6190476190476191,0.6347289484984765
retrained float32,noise_snr10db,45,test,171,0.8713450292397661,0.37142857142857144,1.0,0.5416666666666666,0.5654296322954411
retrained int8,noise_snr10db,45,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
